Gen,Score,Running Score,Actor Loss,Running Actor Loss,Critic Loss,Running Critic Loss,Alpha Loss,Running Alpha Loss,Alpha
1830,18.0,20.03,-12.513636589050293,-12.191290845870972,10.687994956970215,10.780565853118896,0.011635041795670986,0.011689351927489043,0.8392151594161987
1831,30.0,20.02,-12.525605201721191,-12.197776222229004,6.632684230804443,10.751546831130982,0.011633951216936111,0.01168825282715261,0.8391363620758057
1832,14.0,19.52,-12.544050216674805,-12.20451826095581,9.46535062789917,10.748932156562805,0.01163286343216896,0.011687154117971658,0.8390575647354126
1833,29.0,19.7,-12.5471773147583,-12.21098087310791,7.693717956542969,10.751441659927368,0.011631786823272705,0.011686055324971675,0.8389787673950195
1834,21.0,19.54,-12.51649284362793,-12.217036066055298,13.036412715911865,10.801475350856782,0.011630666442215443,0.011684956364333629,0.8388999104499817
1835,36.0,19.76,-12.55162525177002,-12.223497409820556,12.263776779174805,10.844529914855958,0.011629577726125717,0.011683857580646873,0.8388211131095886
1836,39.0,19.99,-12.55186939239502,-12.22989999771118,10.135034084320068,10.860120639801025,0.011628491804003716,0.011682759067043661,0.8387423157691956
1837,24.0,20.09,-12.550358772277832,-12.236240797042846,10.221838474273682,10.840036001205444,0.011627407744526863,0.011681660823523999,0.8386635780334473
1838,42.0,20.32,-12.586073875427246,-12.242681999206543,10.193531036376953,10.820440092086791,0.011626309715211391,0.011680562337860466,0.8385847806930542
1839,11.0,20.31,-12.559615135192871,-12.248906469345092,12.493139266967773,10.821973385810852,0.011625236831605434,0.011679464634507895,0.8385060429573059
1840,61.0,20.65,-12.57120132446289,-12.255428619384766,7.715341806411743,10.7768763756752,0.011624133214354515,0.011678366549313068,0.8384273052215576
1841,9.0,20.61,-12.582841873168945,-12.26170262336731,15.93085527420044,10.834817917346955,0.011622986756265163,0.011677268147468566,0.8383485674858093
1842,16.0,20.51,-12.610130310058594,-12.268342056274413,16.651920795440674,10.830727488994599,0.011621943674981594,0.011676170388236642,0.8382697701454163
1843,14.0,20.43,-12.606371879577637,-12.27492328643799,14.347553730010986,10.840155637264251,0.011620850302278996,0.011675072638317942,0.8381910920143127
1844,15.0,20.41,-12.576330184936523,-12.281033296585083,10.146893978118896,10.876222364902496,0.011619782075285912,0.01167397515848279,0.8381123542785645
1845,50.0,20.73,-12.61433219909668,-12.287856073379517,11.30676555633545,10.818469746112823,0.011618650518357754,0.011672877604141832,0.8380336761474609
1846,12.0,20.62,-12.58852767944336,-12.294100561141967,15.909993171691895,10.847816202640534,0.011617572046816349,0.011671780282631517,0.8379549384117126
1847,16.0,20.67,-12.612565994262695,-12.300712366104126,7.91872501373291,10.835314857959748,0.011616499163210392,0.011670683100819588,0.8378763198852539
1848,13.0,20.61,-12.620022773742676,-12.307172899246217,12.68216609954834,10.852808244228363,0.011615400202572346,0.011669586142525078,0.8377976417541504
1849,34.0,20.82,-12.605451583862305,-12.313550395965576,12.65706491470337,10.90775736093521,0.011614312417805195,0.011668489472940564,0.8377189636230469
1850,11.0,20.79,-12.62457275390625,-12.320243158340453,14.461586952209473,10.943432037830354,0.011613202281296253,0.011667392533272505,0.8376403450965881
1851,15.0,20.53,-12.63971996307373,-12.326876249313354,9.651497840881348,10.942807257175446,0.011612125672399998,0.011666295854374766,0.8375616669654846
1852,23.0,20.61,-12.614789962768555,-12.333106498718262,14.746427536010742,10.997001206874847,0.011611027643084526,0.011665199343115091,0.8374829888343811
1853,28.0,20.74,-12.587634086608887,-12.339127426147462,16.633840560913086,11.096832449436187,0.01160992868244648,0.011664102850481868,0.8374044299125671
1854,16.0,20.66,-12.63198471069336,-12.345579652786254,13.203511714935303,11.11440940141678,0.011608853004872799,0.011663006525486708,0.8373258113861084
1855,37.0,20.91,-12.652514457702637,-12.352184562683105,12.825132846832275,11.143915617465973,0.01160776149481535,0.01166191067546606,0.8372471332550049
1856,11.0,20.85,-12.625102043151855,-12.358475561141967,16.23488140106201,11.14338796854019,0.011606680229306221,0.011660815253853797,0.8371685743331909
1857,36.0,21.08,-12.628308296203613,-12.364654150009155,12.973766803741455,11.16995254278183,0.0116055803373456,0.011659719347953797,0.837090015411377
1858,43.0,21.29,-12.633268356323242,-12.370701341629028,9.2457914352417,11.152731053829193,0.011604494415223598,0.0116586235165596,0.8370113968849182
1859,12.0,21.26,-12.598341941833496,-12.37627061843872,17.38521671295166,11.22167014837265,0.011603412218391895,0.011657527824863791,0.8369328379631042
1860,21.0,21.26,-12.642255783081055,-12.38243377685547,11.007558822631836,11.244114372730255,0.011602322570979595,0.01165643285959959,0.8368542194366455
1861,13.0,21.08,-12.611692428588867,-12.388068771362304,14.76045036315918,11.313186702728272,0.011601214297115803,0.011655337251722813,0.8367756605148315
1862,22.0,21.16,-12.651318550109863,-12.394056558609009,14.075320720672607,11.376509156227112,0.011600148864090443,0.011654242137447,0.8366971015930176
1863,27.0,21.31,-12.628990173339844,-12.399636125564575,12.242259979248047,11.376317648887634,0.011599053628742695,0.011653147032484412,0.8366186022758484
1864,31.0,21.4,-12.64859390258789,-12.405429649353028,12.85450267791748,11.400215005874633,0.011597962118685246,0.01165205193683505,0.8365400433540344
1865,23.0,21.5,-12.634208679199219,-12.411006574630738,14.318998336791992,11.384793467521668,0.0115968631580472,0.01165095690637827,0.8364615440368652
1866,9.0,21.38,-12.655332565307617,-12.41674789428711,11.765240669250488,11.413760256767272,0.0115957735106349,0.011649862322956324,0.836383044719696
1867,17.0,21.39,-12.65604019165039,-12.422482204437255,9.728289127349854,11.378327107429504,0.011594687588512897,0.011648767543956638,0.8363045454025269
1868,39.0,21.66,-12.638590812683105,-12.427814464569092,10.59166955947876,11.389917016029358,0.011593606323003769,0.01164767318405211,0.8362260460853577
1869,20.0,21.69,-12.675525665283203,-12.433500328063964,9.171777725219727,11.407593348026275,0.011592522263526917,0.011646578731015324,0.8361475467681885
1870,56.0,22.07,-12.682731628417969,-12.439172067642211,12.422635078430176,11.43678648710251,0.011591451242566109,0.011645484725013375,0.8360690474510193
1871,30.0,22.12,-12.69101333618164,-12.444832553863526,11.660480976104736,11.487166287899017,0.011590344831347466,0.011644390914589166,0.8359906673431396
1872,19.0,22.17,-12.68106746673584,-12.450400886535645,9.26867961883545,11.484663560390473,0.011589258909225464,0.01164329694584012,0.8359121680259705
1873,36.0,22.21,-12.676225662231445,-12.455561208724976,9.801119327545166,11.487515923976899,0.011588179506361485,0.01164220337755978,0.835833728313446
1874,13.0,22.07,-12.689750671386719,-12.460905265808105,14.480700492858887,11.504458024501801,0.011587042361497879,0.011641109436750412,0.8357552886009216
1875,56.0,22.51,-12.728752136230469,-12.466525745391845,11.693418502807617,11.506548264026641,0.011585998348891735,0.011640016213059426,0.835676908493042
1876,21.0,22.47,-12.728517532348633,-12.472466039657593,12.409696578979492,11.515370366573334,0.01158490777015686,0.011638922793790698,0.8355984687805176
1877,15.0,22.54,-12.725958824157715,-12.478050107955932,14.12882947921753,11.535701529979706,0.011583796702325344,0.011637829141691328,0.8355200290679932
1878,27.0,22.64,-12.744023323059082,-12.483557872772217,9.320718765258789,11.511154463291168,0.01158274244517088,0.01163673629052937,0.8354416489601135
1879,11.0,22.58,-12.750493049621582,-12.489287900924683,10.330881118774414,11.508587629795075,0.011581635102629662,0.011635643048211932,0.8353632092475891
1880,63.0,23.06,-12.76910400390625,-12.495106983184815,11.10041332244873,11.49711288690567,0.011580548249185085,0.011634549899026752,0.8352848291397095
1881,13.0,22.7,-12.768031120300293,-12.50071187019348,14.028344631195068,11.548210422992707,0.011579477228224277,0.011633457085117697,0.8352065086364746
1882,16.0,22.68,-12.76829719543457,-12.506158494949341,10.414802074432373,11.550137054920196,0.011578373610973358,0.011632364159449935,0.835128128528595
1883,13.0,22.61,-12.770687103271484,-12.511749382019042,13.023016452789307,11.585914523601533,0.011577291414141655,0.011631271932274104,0.8350498080253601
1884,16.0,22.61,-12.822813034057617,-12.51761058807373,12.990671634674072,11.619519836902619,0.011576206423342228,0.011630179639905692,0.8349714279174805
1885,19.0,22.51,-12.816786766052246,-12.523466129302978,11.21346664428711,11.590446693897247,0.011575114913284779,0.011629087161272764,0.8348931074142456
1886,41.0,22.81,-12.831645011901855,-12.52934832572937,11.181788921356201,11.617735092639924,0.011574026197195053,0.01162799528799951,0.834814727306366
1887,20.0,22.59,-12.811537742614746,-12.535046224594117,7.48256778717041,11.596991860866547,0.011572936549782753,0.011626902958378196,0.8347364664077759
1888,17.0,22.47,-12.838218688964844,-12.540776977539062,14.833391666412354,11.626275022029876,0.01157187670469284,0.011625811038538814,0.8346580862998962
1889,54.0,22.9,-12.856270790100098,-12.546629467010497,14.174652099609375,11.661006758213043,0.011570789851248264,0.0116247193608433,0.8345798254013062
1890,13.0,22.78,-12.821762084960938,-12.55214379310608,15.614895820617676,11.70989120721817,0.011569690890610218,0.011623627599328756,0.8345015645027161
1891,24.0,22.88,-12.851737976074219,-12.557851333618164,12.378210067749023,11.721390540599822,0.01156861986964941,0.011622536210343242,0.8344232439994812
1892,11.0,22.72,-12.901415824890137,-12.564303369522095,10.769185543060303,11.710264961719513,0.011567513458430767,0.011621444802731275,0.8343449831008911
1893,103.0,23.52,-12.86410903930664,-12.57020881652832,12.34577751159668,11.690203807353974,0.011566436849534512,0.011620353534817695,0.834266722202301
1894,33.0,23.73,-12.872514724731445,-12.576041679382325,13.66810131072998,11.718885724544526,0.011565369553864002,0.011619262620806694,0.8341884613037109
1895,18.0,23.45,-12.895992279052734,-12.582138347625733,11.868762016296387,11.717713267803193,0.011564269661903381,0.011618171604350209,0.8341102004051208
1896,56.0,23.84,-12.84749698638916,-12.587728052139282,15.641890525817871,11.765084512233734,0.01156318373978138,0.01161708079278469,0.8340319395065308
1897,13.0,23.81,-12.886239051818848,-12.59346610069275,12.96142578125,11.814232244491578,0.011562102474272251,0.011615990437567234,0.8339537382125854
1898,41.0,23.92,-12.88656234741211,-12.599242467880249,11.871840953826904,11.830042414665222,0.011561011895537376,0.011614899765700102,0.8338755369186401
1899,14.0,23.76,-12.911174774169922,-12.605540742874146,9.45266056060791,11.855748765468597,0.011559921316802502,0.011613809121772647,0.83379727602005
1900,15.0,23.78,-12.920319557189941,-12.611439838409424,10.082335948944092,11.868648884296418,0.01155884750187397,0.01161271870136261,0.8337190747261047
1901,22.0,23.89,-12.917841911315918,-12.617352771759034,10.64244794845581,11.838734085559844,0.011557762511074543,0.011611628727987409,0.8336408734321594
